FILE,ID,NAME,TEXT,ROLE,HATE,split
A,0,Vittima," Hi . . . I wanted to invite you to the ballet recital on Saturday, March 3 . . . it would make me very happy . . . I'm a little embarrassed . 🤭",victim,no,train_eval
A,2,SupportoVittima1,I’ll ask my mom and I'll let you know,victim_support,no,train_eval
A,3,Vittima,Thanks SupportoVittima1!,victim,no,train_eval
A,4 | 5 | 6,Bullo1,Ah a dance recital You You who are a male,bully,yes,train_eval
A,7,SupportoBullo2," Actually, does it seem normal to you? ? 😂  😂",bully_support,yes,train_eval
A,8,SupportoVittima3,Thanks Vittima I will definitely be there,victim_support,no,train_eval
A,9 | 10 | 11 | 12,Bullo1," No, it's for girls. Then I imagine him wearing  leggings. What about the tutu? 😂 😂 😂 😂",bully,yes,train_eval
A,13,SupportoBullo2,who dances like an idiot 😂,bully_support,yes,train_eval
A,14,Vittima,What's wrong with that?,victim,no,train_eval
A,15,Bullo1,You on tips (en pointe?),bully,no,train_eval
A,16,SupportoVittima3," Vittima, don't listen to them.",victim_support,no,train_eval
A,17,Bullo1," Go play soccer, you sissy!",bully,yes,train_eval
A,18,SupportoBullo2,Bullo1 is right ! ! ! ! !,bully_support,no,train_eval
A,19 | 20 | 21 | 22,Bullo1,"Of course ! ! ! ! !  But then with whom, with other females females like you by the way",bully,yes,train_eval
A,23,SupportoBullo2,Oooooooooooooo 😂,bully_support,no,train_eval
A,24,SupportoVittima3," Leave them alone, if you like to dance, dance, if you like to sing, sing, free of prejudice 👌",victim_support,no,train_eval
A,25 | 26,Bullo1," Yes, and you go play rugby. Same thing",bully,no,train_eval
A,27 | 28,SupportoBullo2,But are you sure you have been selected for the recital 🤣 or do you infiltrate to make an impression You have been brilliantly shamed,bully_support,yes,train_eval
A,29,Vittima," Thank you. But if I like to dance and Bullo1 likes to play rugby, what would be the problem?",victim,no,train_eval
A,30 | 31,Bullo1,That ballet is not for boys Of course,bully,no,train_eval
A,32,SupportoVittima3," And people who NEVER, EVER, EVER mind their own business.",victim_support,no,train_eval
A,33,Bullo1,You're so effeminate that there are more pansies around you than in a garden.,bully,yes,train_eval
A,34,SupportoBullo2,😂 😂 😂 😂 😂 😂 😂 😂,bully_support,no,train_eval
A,35,SupportoVittima1,But why do you care if he dances ? If you don't like dancing don't even go to see him. I'll be there for sure,victim_support,no,train_eval
A,36 | 37,Bullo1,Me too. Just to laugh and make fun of him.,bully,yes,train_eval
A,38,SupportoVittima3,You are a MONSTER,victim_support,yes,train_eval
A,39,SupportoVittima1," It's nonsense, leave him alone",victim_support,no,train_eval
A,40,SupportoVittima3,Exactly,victim_support,no,train_eval
A,41,SupportoBullo2,Of course I'll be there when Vittima will make a fool of himself.,bully_support,yes,train_eval
A,42,SupportoVittima3," Come on Vittima, I believe in you",victim_support,no,train_eval
A,43,SupportoBullo2,The only fag who will dance with the girls,bully_support,yes,train_eval
A,44,SupportoVittima1,But I'd like to see you dance! I'm sure he's better than you.,victim_support,no,train_eval
A,45,Bullo1,I'll have T-shirts printed with you wearing a tutu.,bully,yes,train_eval
A,46,SupportoBullo2,Great Bullo1 😂,bully_support,no,train_eval
A,47,SupportoVittima3,he is very lucky instead,victim_support,no,train_eval
A,48 | 49,Bullo1,To have us insult him? I would say yes,bully,no,train_eval
A,50,SupportoVittima3," No, to have a lot of girls in  leotards dancing along with him",victim_support,no,train_eval
A,51,Bullo1,But if he is gay,bully,yes,train_eval
A,52,SupportoBullo2,He doesn't care about girls but as soon as he sees a man he gets excited 😂,bully_support,yes,train_eval
A,53 | 54,Bullo1,From the stalls (also  from the audience)you can only see girls Including her.,bully,no,train_eval
A,55,SupportoVittima3,What has he done to you ?,victim_support,no,train_eval
A,56,Bullo1," Nothing, we are just telling the truth",bully,no,train_eval
A,57,SupportoVittima1,No,victim_support,no,train_eval
A,58,Bullo1,Oh yes.,bully,no,train_eval
A,59,SupportoVittima3," But if you know that YOUR truth can hurt someone just shut up, say you will not go and the problem ends here",victim_support,no,train_eval
A,60,Bullo1,But we would come,bully,no,train_eval
A,61,SupportoVittima3,YOUR = LIE (THAT'S A LIE!),victim_support,no,train_eval
A,62,Bullo1,With our beautiful choirs,bully,no,train_eval
A,63,SupportoVittima1,Why don't you do it?,victim_support,no,train_eval
A,64 | 65,Bullo1,What ? ? ?,bully,no,train_eval
A,66,SupportoVittima1,What SupportoVittima3 said,victim_support,no,train_eval
A,67 | 69,Bullo2,Stop it. This is stupid! ! Can you imagine him dancing? ? ? It would be too funny 😂  😂  😂,bully,yes,train_eval
A,70,SupportoVittima3," Yes, and I think he's very good.",victim_support,no,train_eval
A,71 | 72,Vittima,But if you have never seen me dance how can you judge? Come to the recital and then we'll talk.,victim,no,train_eval
A,73,Bullo1,Perfect,bully,no,train_eval
A,74 | 75,Bullo2,No way. How about him? Good? Yes to make a fool of himself for sure.,bully,yes,train_eval
A,76,Bullo1," We'll see how good you are, Vittima.",bully,yes,train_eval
